Verb,Reading,Verb Group,Meaning
採決する,さいけつする,SURU,"vote, ballot, division"
交易する,こうえきする,SURU,"trade, commerce"
集金する,しゅうきんする,SURU,money collection
構想する,こうそうする,SURU,"plan, plot, idea, conception, vision, scheme"
下降する,かこうする,SURU,"descent, fall, drop, decline, downturn, subsidence"
聴講する,ちょうこうする,SURU,"lecture attendance, auditing"
増す,ます,GODAN,"to increase, to grow"
応接する,おうせつする,SURU,"reception (e.g. of visitors), dealing with"
抽象する,ちゅうしょうする,SURU,abstract
盛る,もる,GODAN,"to serve (in a bowl, on a plate, etc.), to dish out, to dish up, to fill (a bowl) with; to pile up, to heap up, to fill up, to stack up; to administer (medicine, poison), to dose out, to prescribe; to put into (e.g. information in a report, meaning in a statement); to mark out (e.g. scale), to graduate (e.g. thermometer); to exaggerate, to apply heavy makeup"
束縛する,そくばくする,SURU,"restraint, restriction, fetters, yoke, shackles; binding, confinement with rope"
投書する,とうしょする,SURU,"letter (e.g. of complaint), letter to the editor, letter from a reader; contribution (to a newspaper, magazine, etc.)"
風刺する,ふうしする,SURU,"satire, irony, sarcasm"
差し引きする,さしひきする,SURU,"deduction, subtraction, balance; ebb and flow, rise and fall"
購買する,こうばいする,SURU,"procurement, purchase, buying; school store, co-op, school canteen, tuck shop"
賠償する,ばいしょうする,SURU,"compensation, reparations, indemnity, damages"
発掘する,はっくつする,SURU,"excavation, exhumation; discovery (e.g. new talent)"
自衛する,じえいする,SURU,"self-defense, self-defence"
敗戦する,はいせんする,SURU,"defeat, lost battle, losing a war"
問答する,もんどうする,SURU,"questions and answers, dialogue"
貯蔵する,ちょぞうする,SURU,"storage, preservation"
担う,になう,GODAN,"to carry on one's shoulder, to shoulder, to bear; to bear (burden, responsibility, etc.), to take upon oneself"
打ち消す,うちけす,GODAN,"to deny, to contradict; to negate (esp. a sound), to drown out"
葬る,ほうむる,GODAN,"to bury, to inter, to entomb; to cover up, to hush up, to shelve"
応ずる,おうずる,ICHIDAN,"to answer, to respond, to meet; to satisfy, to accept"
代弁する,だいべんする,SURU,"speaking by proxy, speaking for (someone else), acting as spokesman (for), representing (the views, feelings, etc. of); payment by proxy, compensation by proxy, paying on behalf (of); acting for (someone else), carrying out (on someone's behalf)"
射撃する,しゃげきする,SURU,"firing, shooting, fire, gunshot, marksmanship"
縮める,ちdじめる,ICHIDAN,"to shorten, to reduce, to condense, to shrink; to crumple (fabric), to wrinkle; to make (one's body) smaller, to draw in (one's legs), to duck (one's head)"
論ずる,ろんずる,ICHIDAN,"to discuss, to talk about, to deal with (a topic); to argue, to dispute; to take into consideration, to make an issue of"
張り切る,はりきる,GODAN,"to be in high spirits, to be full of vigor (vigour), to be enthusiastic, to be eager, to stretch to breaking point"
手分けする,てわけする,SURU,"division of labour, division of labor, splitting into groups (e.g. to search)"
作製する,さくせいする,SURU,"manufacture, production"
自習する,じしゅうする,SURU,"self-study, teaching oneself; studying by oneself (at school) while the teacher is absent"
三振する,さんしんする,SURU,"strikeout, strike out, fanning out"
ぶら下げる,ぶらさげる,ICHIDAN,"to hang, to suspend, to dangle, to swing, to carry"
写生する,しゃせいする,SURU,"sketching, drawing from nature, portrayal, description"
溶く,とく,GODAN,"to dissolve (paint), to scramble (eggs), to melt (metal, etc.), to mix (water with flour, etc.)"
防水する,ぼうすいする,SURU,"waterproofing, making watertight"
塗装する,とそうする,SURU,"coating, painting"
斬る,きる,GODAN,"to kill (a human) using a blade (sword, machete, knife, etc.), to slice (off), to lop (off), to cut (off)"
夜行する,やこうする,SURU,"walking around at night, night travel; night train"
激増する,げきぞうする,SURU,"sharp increase, sudden rise"
熱狂する,ねっきょうする,SURU,"wild enthusiasm, being crazy about"
逃す,のがす,GODAN,"to miss (e.g. a chance), to lose, to let get away; to set free, to let go; to fail to ..."
くぐる,くぐる,GODAN,"to dive (into or under water); to get under, to get into, to get in, to creep into, to crawl under, to bury oneself, to burrow into, to dig oneself into, to snuggle under; to hide oneself (esp. from the government), to conceal oneself, to go underground"
出くわす,でくわす,GODAN,"to happen to meet, to come across"
歩行する,ほこうする,SURU,walk
仕える,つかえる,ICHIDAN,"to serve, to work for, to attend"
仲裁する,ちゅうさいする,SURU,"arbitration, intercession, mediation"
上回る,うわまわる,GODAN,"to exceed (esp. figures: profits, unemployment rate, etc.), to surpass, to be more than, to be better than"
産出する,さんしゅつする,SURU,"production, output, turning out"
自白する,じはくする,SURU,"confession, admission"
密輸する,みつゆする,SURU,"smuggling, contraband trade"
報復する,ほうふくする,SURU,"retaliation, revenge, reprisal, retribution; retorsion, retortion"
口述する,こうじゅつする,SURU,"dictation, verbal statement"
転校する,てんこうする,SURU,changing schools
コーチする,こおちする,SURU,coach
取り組む,とりくむ,GODAN,"to grapple with, to wrestle with, to engage in a bout, to be matched against; to tackle (e.g. a problem), to come to grips with, to work hard on"
目覚める,めざめる,ICHIDAN,"to wake up, to awake; to awaken to (instinct, ability, perception, etc.), to become aware of, to become conscious of, to realize; to come to one's senses"
賭ける,かける,ICHIDAN,"to wager, to bet, to risk, to stake, to gamble"
沿う,そう,GODAN,"to run along, to run beside, to stick to (a line); to follow (a policy, plan, etc.), to act in accordance with, to align with; to meet (wishes, expectations, etc.), to satisfy, to comply with, to live up to"
プラスする,ぷらすする,SURU,"plus, addition; positive (number); plus sign, positive symbol; advantage, plus, asset, positive factor, positive effect; profit, gain; anode, plus terminal, positive pole; positive (test result)"
尽きる,つきる,ICHIDAN,"to be used up, to be run out, to be exhausted, to be consumed, to come to an end"
拒絶する,きょぜつする,SURU,"refusal, rejection"
マスターする,ますたあする,SURU,"to master (a skill); proprietor, manager, owner, barkeeper; leader, chief, head; master (of arts, science, etc.); master (recording); master (device)"
パスする,ぱすする,SURU,"passing (a test, examination, etc.); pass (for admission, transport, etc.), ticket; pass (of a ball); (giving something a) pass, skipping (one's turn); path (file, directory, graphics)"
欠く,かく,GODAN,"to chip, to nick, to break, to crack; to lack"
ゴールする,ごおるする,SURU,"goal, basket (basketball), finishing line, winning post; Gaul"
封建する,ほうけんする,SURU,feudalistic
セットする,せっとする,SURU,"set; set meal, combo-meal, combo, combination meal; hairdo"
がる,がる,GODAN,"to show signs of being, to feel, to think; to behave as if one were, to pretend, to act as if"
諮る,はかる,GODAN,"to consult with, to discuss, to confer, to deliberate"
ファイルする,ふぁいるする,SURU,"file (for holding papers); file (collection of documents), filing, keeping on file; file (computing)"
流行する,りゅうこうする,SURU,"fashion, trend, vogue, craze, fad, popularity; prevalence (of a disease), epidemic"
悪口する,わるくちする,SURU,"slander, bad-mouthing, abuse, insult, speaking ill (of)"
コントロールする,こんとろおるする,SURU,control
カットする,かっとする,SURU,"cut, cutting; haircut; shuffle (cards), shuffling; scene, shot (in a movie)"
預ける,あずける,ICHIDAN,"to leave (in someone's keeping), to put (in someone's care), to place (in someone's custody), to entrust (someone) with, to deposit; to put (someone) in charge of, to leave (a matter) in someone's hands, to let (someone) decide; to lean on, to put one's weight on"
遂げる,とげる,ICHIDAN,"to accomplish, to achieve, to carry out; to arrive at (a certain outcome), to come to, to end with"
添える,そえる,ICHIDAN,"to garnish, to accompany (as a card does a gift); to add to as support, to prop up; to accompany (as an aid, guide, translator, etc.); to mimic, to imitate; to draw something near to oneself, to approach nearby"
削る,けずる,GODAN,"to shave (wood, leather, etc.), to sharpen (e.g. pencil), to plane, to whittle, to pare, to scrape off, to erode; to cut down (budget, expenses, staff, time, etc.), to curtail, to reduce; to delete, to erase, to remove, to cross out, to strike out"
縮小する,しゅくしょうする,SURU,"reduction, curtailment, cut, cutback, scaling down"
遮る,さえぎる,GODAN,"to interrupt, to obstruct (a view, someone's way, etc.), to block (light, wind, etc.), to intercept, to cut off"
来日する,らいにちする,SURU,"arrival in Japan, coming to Japan, visit to Japan"
崇拝する,すうはいする,SURU,"worship, adoration, admiration, cult"
免れる,まぬかれる,ICHIDAN,"to escape (disaster, death, etc.), to be saved from, to be rescued from; to avoid (e.g. punishment), to evade (e.g. responsibility), to avert, to elude, to be exempted from"
鈍る,にぶる,GODAN,"to become blunt, to grow dull; to become less capable, to weaken, to falter"
明かす,あかす,GODAN,"to pass (the night), to spend; to reveal, to divulge, to disclose, to expose; to prove, to verify"
妬む,ねたむ,GODAN,"to be jealous of, to envy, to begrudge"
辛抱する,しんぼうする,SURU,"endurance, patience"
回送する,かいそうする,SURU,"forwarding, sending on, redirecting (e.g. mail); deadheading (e.g. train), (train) returning to the station"
開通する,かいつうする,SURU,"opening (of a new road, railway, etc.), going into operation (e.g. telephone communication), beginning services; reopening (e.g. of a road to traffic), resumption of services"
絶える,たえる,ICHIDAN,"to die out, to peter out, to become extinct; to cease, to be stopped, to be discontinued, to be cut off"
執筆する,しっぴつする,SURU,"writing, authoring"
交わる,まじわる,GODAN,"to cross, to intersect, to join, to meet; to associate with, to mingle with, to consort with; to have a sexual relationship, to copulate"
直通する,ちょくつうする,SURU,"direct line, direct communication, connecting directly, through service, nonstop service"
鍛える,きたえる,ICHIDAN,"to forge, to temper; to drill, to train, to discipline"
区分する,くぶんする,SURU,"division, section, demarcation, partition, segmentation, subdivision, (traffic) lane, compartment, classification, sorting"
導く,みちびく,GODAN,"to guide, to lead, to show the way, to conduct; to derive, to deduce"
締め切る,しめきる,GODAN,"to close up, to shut up (e.g. behind doors); to cut off (e.g. because a deadline has expired), to close off (e.g. subscription list)"
製作する,せいさくする,SURU,"manufacture, production"
固める,かためる,ICHIDAN,"to harden, to freeze, to strengthen, to solidify, to make (a fist), to tramp down (snow, dirt); to put together, to collect, to gather, to consolidate; to make secure, to stabilize, to settle down, to strengthen (belief, resolution, etc.), to establish (evidence); to fortify, to reinforce, to support; to wear for a specific purpose (armor, coat, etc.); to swear, to resolutely vow, to sincerely promise; to tie tightly, to fasten; to hold a bow fully drawn"
断つ,たつ,GODAN,"to sever, to cut off; to suppress, to eradicate, to exterminate; to abstain (from), to give up"
編む,あむ,GODAN,"to knit, to plait, to braid; to compile (anthology, dictionary, etc.), to edit"
設ける,もうける,ICHIDAN,"to prepare, to provide; to set up, to establish, to organize, to lay down (rules), to make (an excuse)"
説く,とく,GODAN,"to explain, to advocate, to preach, to persuade"
傾ける,かたむける,ICHIDAN,"to incline, to lean, to tip, to tilt, to slant, to bend, to list; to devote oneself to, to concentrate on, to pour one's energy into; to ruin, to squander, to empty; to drink (alcohol)"
通用する,つうようする,SURU,"popular use, circulation; to pass as, to pass for"
蓄積する,ちくせきする,SURU,"accumulation, accumulate, store"
掃く,はく,GODAN,"to sweep, to brush, to clean; to gather silkworms"
同封する,どうふうする,SURU,enclosing (e.g. with a letter)
演ずる,えんずる,ICHIDAN,"to act (a part), to play (a role); to perform (a play, etc.), to put on (a production); to commit (a blunder), to pretend (e.g. to be a good father), to disgrace oneself"
中継する,ちゅうけいする,SURU,"relay, hook-up; relay broadcasting"
交差する,こうさする,SURU,"crossing, intersection; (genetic) crossing over"
励む,はげむ,GODAN,"to strive, to endeavour, to endeavor, to make an effort, to be zealous"
共学する,きょうがくする,SURU,coeducation
携わる,たずさわる,GODAN,"to engage in, to participate in, to take part in, to be involved in"
興業する,こうぎょうする,SURU,"promotion of industry, inauguration of a new industrial enterprise"
載る,のる,GODAN,"to be placed on, to be set on, to be piled on, to be loaded on; to appear (in print), to be mentioned, to be recorded, to be reported, to be given"
映す,うつす,GODAN,"to project, to reflect, to cast (shadow)"
強行する,きょうこうする,SURU,"forcing, enforcement; forced, enforced"
増強する,ぞうきょうする,SURU,"reinforcement, augmentation, strengthening, increase, buildup"
換気する,かんきする,SURU,ventilation
再現する,さいげんする,SURU,"reappearance, reemergence, return, revival; reproduction, reenactment, recreation"
教習する,きょうしゅうする,SURU,"training, instruction"
放つ,はなつ,GODAN,"to fire (gun, arrow, questions, etc.), to shoot, to hit (e.g. baseball), to break wind; to set free, to release, to let loose; to emit (e.g. light), to give off (e.g. a scent); to send out (a person to carry out a duty); to set fire to"
略奪する,りゃくだつする,SURU,"pillage, plunder, looting, robbery"
お返しする,おかえしする,SURU,"return gift, return favour (favor); revenge; change (in a cash transaction)"
対比する,たいひする,SURU,"contrast, comparison"
委託する,いたくする,SURU,"entrusting (something to a person), consignment (of goods), putting in someone's charge, trust, commission"
先着する,せんちゃくする,SURU,arriving first
専修する,せんしゅうする,SURU,"specialization, specialisation"
抗争する,こうそうする,SURU,"dispute, resistance"
由来する,ゆらいする,SURU,"origin, source, history, derivation; originally, from the start, by nature"
追及する,ついきゅうする,SURU,"investigation (e.g. into someone's guilt), questioning, pressing, hounding, pinning down; catching up, overtaking"
経る,へる,ICHIDAN,"to pass, to elapse, to go by; to pass through, to go through; to experience, to go through, to undergo"
転換する,てんかんする,SURU,"conversion, diversion, changeover, commutation, switchover"
加味する,かみする,SURU,"seasoning, flavoring, flavouring; addition, inclusion, taking into account"
揺さぶる,ゆさぶる,GODAN,"to shake, to jolt, to rock, to swing, to sway; to shake (e.g. the political world), to disturb, to shock, to upset; to put off a batter (by varying one's type of pitch)"
出題する,しゅつだいする,SURU,"setting a question (for an exam, quiz, etc.); setting a theme (for composition of poetry)"
徴収する,ちょうしゅうする,SURU,"collection (of fees, taxes, etc.), levy"
受信する,じゅしんする,SURU,"receiving (a message, letter, email, etc.), reception (radio, TV, etc.)"
運用する,うんようする,SURU,"making use of, application, practical use, effective management (e.g. of funds); operation (esp. of a boat), steering"
想定する,そうていする,SURU,"hypothesis, supposition, assumption"
考察する,こうさつする,SURU,"consideration, inquiry, enquiry, investigation, study"
耕作する,こうさくする,SURU,"cultivation, farming"
結束する,けっそくする,SURU,"union, unity, solidarity; bundling, binding, tying; putting on (clothes, armour, etc.)"
合致する,がっちする,SURU,"agreement, concurrence, conformance, compliance"
改修する,かいしゅうする,SURU,"repair, improvement"
着目する,ちゃくもくする,SURU,"attention, giving one's attention, focusing"
抽選する,ちゅうせんする,SURU,"lottery, raffle, drawing (of lots)"
対戦する,たいせんする,SURU,"fighting (against), taking on (an opponent), facing, confronting, competing (with), battle, fight, contest, match"
閲覧する,えつらんする,SURU,"inspection, reading, perusal; browsing (the web)"
布告する,ふこくする,SURU,"edict, ordinance, proclamation"
特産する,とくさんする,SURU,"being produced in a particular region, local specialty"
埋蔵する,まいぞうする,SURU,burying in the ground; having underground deposits
転居する,てんきょする,SURU,"moving, changing residence, change of address"
納入する,のうにゅうする,SURU,"payment (taxes, fees, etc.); supply (of goods), delivery"
防火する,ぼうかする,SURU,"fire prevention, fire fighting, fire proof"
発病する,はつびょうする,SURU,attack (disease)
指令する,しれいする,SURU,"orders, instructions, directive, command"
失格する,しっかくする,SURU,"disqualification, elimination, incapacity; being unfit for one's role, being a failure"
改定する,かいていする,SURU,"revision (of a rule, price, etc.), alteration, change"
講習する,こうしゅうする,SURU,"short course, training"
処刑する,しょけいする,SURU,execution
主演する,しゅえんする,SURU,"starring (in a film, play, etc.), playing the leading part"
推進する,すいしんする,SURU,"propulsion, drive; promotion (of a policy, project, movement, etc.), furtherance, advancement, pushing forward"
模索する,もさくする,SURU,"groping (for), fumbling around (for), searching (for an answer, solution, etc.), trying to find"
演習する,えんしゅうする,SURU,"practice, exercise, drill; military exercise, manoeuvres, maneuvers, drill; seminar"
軽減する,けいげんする,SURU,"abatement, reduction"
防衛する,ぼうえいする,SURU,"defense, defence, protection"
掲げる,かかげる,ICHIDAN,"to put up (a notice, sign, etc.), to hang out (e.g. a banner), to fly (e.g. a flag), to hoist, to raise, to display; to hold up high, to raise overhead; to tout (a principle, plan, etc.), to herald, to hold up (an ideal), to parade (e.g. a slogan); to publish, to print, to carry (e.g. an article); to tuck up (e.g. sleeves), to roll up; to stoke (a fire), to fan (a flame)"
協議する,きょうぎする,SURU,"conference, consultation, discussion, negotiation"
複合する,ふくごうする,SURU,"composite, combined, complex"
類似する,るいじする,SURU,"resemblance, similarity, likeness, analogy"
強める,つよめる,ICHIDAN,"to strengthen, to emphasize, to emphasise"
返還する,へんかんする,SURU,"return, restoration"
下落する,げらくする,SURU,"depreciation, decline, fall, slump"
保養する,ほようする,SURU,"health preservation, recuperation, recreation"
刊行する,かんこうする,SURU,"publication, issue"
恋する,こいする,SURU,"to fall in love (with), to love"
著作する,ちょさくする,SURU,"writing, book"
続行する,ぞっこうする,SURU,"continuation, continuance, going on, resuming"
有する,ゆうする,SURU,"to have, to possess, to own, to be endowed with"
識別する,しきべつする,SURU,"discrimination, discernment, identification"
私有する,しゆうする,SURU,private ownership
緩める,ゆるめる,ICHIDAN,"to loosen, to slacken; to relax (attention, efforts, etc.), to let down (one's guard), to relieve (tension); to relax (a rule), to ease (e.g. restrictions), to loosen (control); to reduce (speed), to slow down, to ease up; to make more gradual (of a slope)"
告訴する,こくそする,SURU,"accusation, complaint, charge, legal action"
選考する,せんこうする,SURU,"selection, screening"
据える,すえる,ICHIDAN,"to place (in position), to fix, to set (e.g. table), to lay (foundation); to install, to seat (someone); to settle (upon something), to fix (e.g. one's gaze); to apply (moxa)"
荒れる,あれる,ICHIDAN,"to become stormy, to become rough (of the sea); to fall into ruin, to become neglected, to become dilapidated; to become rough (of skin), to get chapped; to become unruly, to become violent, to go wild, to get out of control; to become unsettled (e.g. of one's life), to become disordered"
質疑する,しつぎする,SURU,question; interpellation
主導する,しゅどうする,SURU,"leadership, initiative, spearhead"
静止する,せいしする,SURU,"stillness, repose, standing still"
脅威する,きょういする,SURU,"threat, menace"
共存する,きょうぞんする,SURU,coexistence
勤労する,きんろうする,SURU,"labor, labour, exertion, diligent service"
値上げする,ねあげする,SURU,"price increase, rise in price, wage increase"
該当する,がいとうする,SURU,"corresponding to, being applicable to, being relevant to, coming under, falling under, fulfilling (requirements), meeting (conditions), qualifying for"
就業する,しゅうぎょうする,SURU,"employment, starting work"
言及する,げんきゅうする,SURU,"reference, allusion"
重複する,ちょうふくする,SURU,"duplication, repetition, overlapping, redundancy, restoration"
異動する,いどうする,SURU,"(personnel) change, transfer, relocation, reassignment, reshuffle"
祝賀する,しゅくがする,SURU,"celebration, congratulations"
遭難する,そうなんする,SURU,"disaster, accident, shipwreck, distress"
大喜びする,おおよろこびする,SURU,great joy
運送する,うんそうする,SURU,"transport, freight, shipping"
準じる,じゅんじる,ICHIDAN,"to follow, to conform, to apply to"
沈める,しずめる,ICHIDAN,"to sink (e.g. a ship), to submerge; to lower (e.g. one's body into a chair); to floor (an opponent)"
慕う,したう,GODAN,"to yearn for, to long for, to pine for, to miss, to love dearly, to adore; to follow (someone); to idolize (for virtue, learning, status, etc.)"
普遍する,ふへんする,SURU,"universal, general, ubiquitous, omnipresent"
信任する,しっにんする,SURU,"trust, confidence, credence"
増減する,ぞうげんする,SURU,"increase and decrease, fluctuation"
添う,そう,GODAN,"to meet (wishes, expectations, etc.), to satisfy, to comply with, to live up to; to accompany, to go with, to stay by one's side; to associate with (someone), to mix with; to marry, to wed; to be added"
連ねる,つらねる,ICHIDAN,"to line up, to put in a row; to add (to a group), to accept (as a member of an organization, etc.), to join (e.g. a list); to link, to put together, to string together (e.g. compliments), to enumerate; to take along with, to bring with"
連なる,つらなる,GODAN,"to extend, to stretch out, to stand in a row; to attend, to participate in; to enrol, to enroll, to join; to have a connection, to be related, to be linked"
綻びる,ほころびる,ICHIDAN,"to come apart at the seams, to be ripped, to be torn; to begin to open, to begin to bloom; to smile broadly, to break into a smile"
気兼ねする,きがねする,SURU,"constraint, reserve, feeling hesitant, being afraid of troubling someone"
率いる,ひきいる,ICHIDAN,"to lead, to spearhead (a group), to command (troops)"
並列する,へいれつする,SURU,"arranging in a line, standing in a row; parallel (electronics, computing, etc.)"
仕入れる,しいれる,ICHIDAN,"to lay in stock, to replenish stock, to procure; to learn, to find out, to take in"
振動する,しんどうする,SURU,"oscillation, vibration, swing (e.g. of a pendulum)"
着色する,ちゃくしょくする,SURU,"colouring, coloring, colorant"
動員する,どういんする,SURU,"mobilization, mobilisation"
宣告する,せんこくする,SURU,"sentence, verdict, pronouncement"
水洗する,すいせんする,SURU,"washing with water, rinsing, flushing"
祝福する,しゅくふくする,SURU,"celebration (of a joyous occasion), blessing, giving one's blessing, wishing (someone) good luck; blessing (from God)"
革新する,かくしんする,SURU,"reform, innovation"
敗北する,はいぼくする,SURU,"defeat, loss, reverse, setback"
飽和する,ほうわする,SURU,"saturation, satiation"
粘る,ねばる,GODAN,"to be sticky, to be adhesive; to persevere, to persist, to stick to, to hold out, to linger"
謝罪する,しゃざいする,SURU,apology
持続する,じぞくする,SURU,"continuation, persisting, lasting, sustaining, enduring"
就寝する,しゅうしんする,SURU,"going to bed, retiring (for the night)"
立法する,りっぽうする,SURU,"legislation, lawmaking"
縮まる,ちdじまる,GODAN,"to shorten, to narrow, to close, to shrink"
上映する,じょうえいする,SURU,"screening (a movie), showing"
潤う,うるおう,GODAN,"to be moist, to be damp, to get wet, to be watered; to profit by, to receive benefits, to receive favors (favours); to become rich, to become at ease financially"
サボる,さぼる,GODAN,"to be truant, to slack off, to play hooky, to skip school, to cut class, to skip out"
休学する,きゅうがくする,SURU,temporary absence from school
焦る,あせる,GODAN,"to be in a hurry, to be impatient, to be anxious (to do), to fret; to get a fright, to panic, to get flustered, to be startled"
セックスする,せっくすする,SURU,"sex, sexual intercourse; (one's) sex, gender"
待たせる,またせる,ICHIDAN,to keep (a person) waiting
恥じらう,はじらう,GODAN,"to feel shy, to be bashful, to blush"
果てる,はてる,ICHIDAN,"to end, to be finished, to be exhausted; to die, to perish; to do utterly, to do completely"
連れる,つれる,ICHIDAN,"to take (someone) with one, to bring along, to go with, to be accompanied by"
知り合う,しりあう,GODAN,"to get to know each other, to make acquaintance"
アップする,あっぷする,SURU,"increasing; uploading, posting (e.g. content), putting online; close-up; finishing shooting (of a film, etc.); upswept hairstyle; being up (i.e. leading in sports); warming up; being over, being finished"
隠居する,いんきょする,SURU,"retirement (from work), leading a quiet life (after retirement); retired person, retiree; surrendering headship of the family (pre-WWII)"
応える,こたえる,ICHIDAN,"to respond, to answer, to meet (e.g. demands, expectations); to affect, to take a toll, to strike home, to have an effect on, to be hard on someone (e.g. heat, cold, work, illness, etc.), to be a strain"
観覧する,かんらんする,SURU,viewing
来場する,らいばする,SURU,attendance
習得する,しゅうとくする,SURU,"learning, acquisition (of a skill, knowledge, etc.)"
振り返る,ふりかえる,GODAN,"to turn one's head, to look over one's shoulder, to turn around, to look back; to think back (on), to reminisce, to look back (on), to reflect (on)"
決行する,けっこうする,SURU,"doing (with resolve), carrying out (e.g. a plan)"
隔たる,へだたる,GODAN,to be distant
澄ます,すます,GODAN,"to clear, to make clear; to be unruffled, to look unconcerned, to feign indifference; to look demure, to look prim, to put on airs; to strain (one's ears), to listen carefully"
消耗する,しょうもうする,SURU,"exhaustion, consumption, using up, dissipation, waste"
怒鳴る,どなる,GODAN,"to shout (in anger), to yell"
面接する,めんせつする,SURU,interview (e.g. for a job)
乾燥する,かんそうする,SURU,"dryness, aridity, drying (e.g. clothes), dehydration, desiccation; insipidity"
反省する,はんせいする,SURU,"reflection, reconsideration, introspection, meditation, contemplation; regret, repentance, remorse, being sorry"
チェンジする,ちぇんじする,SURU,"change, changing; exchange (e.g. of goods)"
測量する,そくりょうする,SURU,"measurement, surveying"
蒸発する,じょうはつする,SURU,"evaporation; disappearance (of a person), vanishing without a trace"
迫る,せまる,GODAN,"to approach, to draw near, to be imminent; to press (someone for something), to urge, to compel"
低下する,ていかする,SURU,"fall, decline, lowering, deterioration, degradation"
冷やす,ひやす,GODAN,"to cool (from room temperature), to chill, to refrigerate; to calm down, to cool off, to regain one's composure, to relax; to be frightened (at), to be scared (of)"
マッサージする,まっさあじする,SURU,massage
活躍する,かつやくする,SURU,"activity (esp. energetic or successful), great efforts, active participation; walking about with great vigor"
凝る,こる,GODAN,"to congeal, to freeze"
降伏する,こうふくする,SURU,"capitulation, surrender, submission; yield"
持ち込む,もちこむ,GODAN,"to bring in, to take in, to carry in; to approach (someone) with (a proposal, offer, problem, etc.), to bring, to lodge (a complaint), to propose (e.g. a project); to bring (to another stage), to take (e.g. to court, to extra time, to a play-off)"
一敗する,いっぱいする,SURU,one defeat
吸い込む,すいこむ,GODAN,"to inhale, to breathe in, to suck up, to imbibe; to absorb, to soak up"
救出する,きゅうしゅつする,SURU,"rescue, extricate, reclaim, deliverance"
デザインする,でざいんする,SURU,design
懸念する,けねんする,SURU,"worry, fear, anxiety, concern"
生み出す,うみだす,GODAN,"to create, to bring forth, to produce; to invent, to think up and bring into being; to give birth to, to bear"
辞任する,じにんする,SURU,resignation (from a position)
ジャンプする,じゃんぷする,SURU,"jump; jumping event (skiing, track and field); jumping (to another page after clicking a hyperlink); jump (in price), sudden rise"
餓死する,がしする,SURU,"(death from) starvation, starving to death"
立候補する,りっこうほする,SURU,"candidacy, standing as a candidate, bidding (to host an event, e.g. the Olympics)"
選出する,せんしゅつする,SURU,"election, selection, choice"
ブームする,ぶうむする,SURU,"boom, rage, fad; boom, cross-arm"
支援する,しえんする,SURU,"support, backing, aid, assistance"
パチンコする,ぱちんこする,SURU,"pachinko, mechanical gambling game superficially resembling pinball; slingshot, catapult; pistol"
ダウンする,だうんする,SURU,"going down, fall, decrease, drop; knocking down (in boxing), flooring, being knocked down, being floored; being out of action (due to illness, exhaustion, etc.), being down (e.g. with a cold), being knocked out (from alcohol), being out of it, collapsing; going down (of a computer system, server, etc.), crashing; (number of) outs; being down (in points, games, etc.), behind behind, trailing; down (American football); down (feathers)"
オープンする,おおぷんする,SURU,"opening (a new store, golf course, runway, etc.); open, frank, approachable, open-hearted; open (car, collar, tournament, etc.)"
断念する,だっねんする,SURU,"abandoning (hope, plans), giving up"
仰ぐ,あおぐ,GODAN,"to look up (at); to look up to, to respect, to revere; to ask for (e.g. guidance), to seek, to turn to (someone) for; to depend on, to rely on; to gulp down, to quaff, to drink"
判明する,はんめいする,SURU,"establishing, proving, ascertaining, identifying, confirming"
発する,はっする,SURU,"to let out, to utter, to produce, to emit, to give forth, to discharge; to issue, to send, to give; to leave, to depart; to occur, to appear; to shoot (an arrow or bullet), to fire"
重んじる,おもんじる,ICHIDAN,"to respect, to honor, to honour, to esteem, to prize"
壊滅する,かいめつする,SURU,"destruction, annihilation, devastation, catastrophe"
開業する,かいぎょうする,SURU,"opening a business, opening a practice"
心がける,こころがける,ICHIDAN,"to keep in mind, to bear in mind, to try, to aim to do, to endeavor, to endeavour"
生やす,はやす,GODAN,"to grow, to cultivate, to wear a beard"
染める,そめる,ICHIDAN,"to dye, to colour, to color"
値上がりする,ねあがりする,SURU,"price increase, rise in price"
打倒する,だとうする,SURU,"overthrow, defeat, bringing down, knockdown"
志す,こころざす,GODAN,"to plan, to intend, to aspire to, to set aims (sights on)"
滅びる,ほろびる,ICHIDAN,"to go to ruin, to go under, to fall, to be destroyed, to die out, to become extinct, to perish"
探求する,たんきゅうする,SURU,"search, quest, pursuit"
担保する,たんぽする,SURU,"security, guarantee, collateral (e.g. mortgage)"
砲撃する,ほうげきする,SURU,"bombarding, shelling, bombardment"
誇張する,こちょうする,SURU,exaggeration
示唆する,しさする,SURU,"suggestion, hint, implication"
滅亡する,めつぼうする,SURU,"downfall, ruin, collapse, destruction"
繁盛する,はんじょうする,SURU,"prosperity, flourishing, thriving"
練る,ねる,GODAN,"to knead, to thicken into a paste (stirring over a flame); to polish (a plan, etc.), to refine, to elaborate, to work out; to train, to drill, to exercise; to gloss (silk), to soften, to degum; to tan (leather); to temper (steel); to walk in procession, to parade, to march"
的中する,てきちゅうする,SURU,"hitting the target, striking home; proving to be right, coming true, being on the mark"
構築する,こうちくする,SURU,"construction, building, putting up, erecting, creation, formulation, architecture (systems, agreement, etc.)"
裁く,さばく,GODAN,"to judge, to decide, to sit in judgement, to try"
抜かす,ぬかす,GODAN,"to omit, to leave out, to skip; to overtake, to pass; to say, to speak"
