Predicate,Reading,Predicate Group
突っ張る,つっぱる,GODAN
立ち上がる,たちあがる,GODAN
立ち寄る,たちよる,GODAN
立ち止まる,たちどまる,GODAN
籠もる,こもる,GODAN
粘る,ねばる,GODAN
縮まる,ちぢまる,GODAN
繋がる,つながる,GODAN
纏まる,まとまる,GODAN
罹る,かかる,GODAN
群がる,むらがる,GODAN
翔る,かける,GODAN
腐る,くさる,GODAN
至る,いたる,GODAN
茂る,しげる,GODAN
薄まる,うすまる,GODAN
要る,いる,GODAN
見つかる,みつかる,GODAN
詰まる,つまる,GODAN
謙る,へりくだる,GODAN
走る,はしる,GODAN
起こる,おこる,GODAN
足る,たる,GODAN
跨る,またがる,GODAN
踊る,おどる,GODAN
転がる,ころがる,GODAN
載る,のる,GODAN
近寄る,ちかよる,GODAN
返る,かえる,GODAN
迫る,せまる,GODAN
透き通る,すきとおる,GODAN
通る,とおる,GODAN
連なる,つらなる,GODAN
遠ざかる,とおざかる,GODAN
遡る,さかのぼる,GODAN
重なる,かさなる,GODAN
鈍る,にぶる,GODAN
閉まる,しまる,GODAN
降る,ふる,GODAN
陥る,おちいる,GODAN
隔たる,へだたる,GODAN
障る,さわる,GODAN
集まる,あつまる,GODAN
静まる,しずまる,GODAN
頑張る,がんばる,GODAN
香る,かおる,GODAN
高まる,たかまる,GODAN
鳴る,なる,GODAN
黙る,だまる,GODAN
上る,のぼる,GODAN
凝る,こる,GODAN
務まる,つとまる,GODAN
抜かる,ぬかる,GODAN
替わる,かわる,GODAN
止まる,とまる,GODAN
混じる,まじる,GODAN
湧き上がる,わきあがる,GODAN
行き詰まる,いきづまる,GODAN
関わる,かかわる,GODAN
終わる,おわる,GODAN
名乗る,なのる,GODAN
触る,さわる,GODAN
頼る,たよる,GODAN
しゃぶる,しゃぶる,GODAN
上回る,うわまわる,GODAN
乗っ取る,のっとる,GODAN
仕切る,しきる,GODAN
作る,つくる,GODAN
出切る,できる,GODAN
切る,きる,GODAN
刈る,かる,GODAN
刷る,する,GODAN
剃る,そる,GODAN
削る,けずる,GODAN
割る,わる,GODAN
労る,いたわる,GODAN
区切る,くぎる,GODAN
千切る,ちぎる,GODAN
取り締まる,とりしまる,GODAN
取る,とる,GODAN
受け取る,うけとる,GODAN
召し上がる,めしあがる,GODAN
可愛がる,かわいがる,GODAN
叱る,しかる,GODAN
司る,つかさどる,GODAN
吊る,つる,GODAN
噛み切る,かみきる,GODAN
図る,はかる,GODAN
執る,とる,GODAN
塗る,ぬる,GODAN
売る,うる,GODAN
奉る,たてまつる,GODAN
奢る,おごる,GODAN
嫌がる,いやがる,GODAN
守る,まもる,GODAN
弄る,いじる,GODAN
引きずる,ひきずる,GODAN
引き取る,ひきとる,GODAN
引っ張る,ひっぱる,GODAN
張る,はる,GODAN
強請る,ねだる,GODAN
彫る,ほる,GODAN
怠る,おこたる,GODAN
悟る,さとる,GODAN
打ち切る,うちきる,GODAN
承る,うけたまわる,GODAN
抓る,つねる,GODAN
折る,おる,GODAN
振る,ふる,GODAN
捕る,とる,GODAN
捩る,ねじる,GODAN
捲る,まくる,GODAN
捻る,ひねる,GODAN
掘る,ほる,GODAN
掠る,かする,GODAN
探る,さぐる,GODAN
握る,にぎる,GODAN
揺さぶる,ゆさぶる,GODAN
揺る,ゆる,GODAN
摂る,とる,GODAN
撮る,とる,GODAN
操る,あやつる,GODAN
擦る,こする,GODAN
擦る,する,GODAN
放る,ほうる,GODAN
教わる,おそわる,GODAN
斬る,きる,GODAN
断る,ことわる,GODAN
書き取る,かきとる,GODAN
横切る,よこぎる,GODAN
欲しがる,ほしがる,GODAN
殴る,なぐる,GODAN
毟る,むしる,GODAN
炙る,あぶる,GODAN
煎る,いる,GODAN
物語る,ものがたる,GODAN
盛る,もる,GODAN
着飾る,きかざる,GODAN
瞑る,つぶる,GODAN
知る,しる,GODAN
破る,やぶる,GODAN
祈る,いのる,GODAN
祭る,まつる,GODAN
絞る,しぼる,GODAN
締め切る,しめきる,GODAN
練る,ねる,GODAN
縛る,しばる,GODAN
織る,おる,GODAN
罵る,ののしる,GODAN
葬る,ほうむる,GODAN
被る,かぶる,GODAN
裏切る,うらぎる,GODAN
見守る,みまもる,GODAN
見送る,みおくる,GODAN
計る,はかる,GODAN
詰る,なじる,GODAN
誇る,ほこる,GODAN
語る,かたる,GODAN
誤る,あやまる,GODAN
諮る,はかる,GODAN
譲る,ゆずる,GODAN
賜る,たまわる,GODAN
贈る,おくる,GODAN
蹴る,ける,GODAN
辿る,たどる,GODAN
送る,おくる,GODAN
遣る,やる,GODAN
遮る,さえぎる,GODAN
配る,くばる,GODAN
釣る,つる,GODAN
限る,かぎる,GODAN
預かる,あずかる,GODAN
飾る,かざる,GODAN
齧る,かじる,GODAN
競る,せる,GODAN
通り掛かる,とおりかかる,GODAN
寝かす,ねかす,GODAN
記す,しるす,GODAN
越す,こす,GODAN
逃げ出す,にげだす,GODAN
遣り通す,やりとおす,GODAN
出くわす,でくわす,GODAN
射す,さす,GODAN
差す,さす,GODAN
引き返す,ひきかえす,GODAN
引っ越す,ひっこす,GODAN
志す,こころざす,GODAN
抜け出す,ぬけだす,GODAN
暮らす,くらす,GODAN
照り返す,てりかえす,GODAN
降り出す,ふりだす,GODAN
飛び出す,とびだす,GODAN
辞す,じす,GODAN
増す,ます,GODAN
ひっくり返す,ひっくりかえす,GODAN
下す,くだす,GODAN
下ろす,おろす,GODAN
乱す,みだす,GODAN
乾かす,かわかす,GODAN
交わす,かわす,GODAN
任す,まかす,GODAN
伸ばす,のばす,GODAN
侵す,おかす,GODAN
促す,うながす,GODAN
倒す,たおす,GODAN
催す,もよおす,GODAN
写す,うつす,GODAN
冷ます,さます,GODAN
冷やかす,ひやかす,GODAN
冷やす,ひやす,GODAN
凝らす,こごらす,GODAN
出す,だす,GODAN
刺す,さす,GODAN
剥がす,はがす,GODAN
励ます,はげます,GODAN
動かす,うごかす,GODAN
卸す,おろす,GODAN
及ぼす,およぼす,GODAN
取り出す,とりだす,GODAN
取り戻す,とりもどす,GODAN
取り消す,とりけす,GODAN
召す,めす,GODAN
合わす,あわす,GODAN
吊るす,つるす,GODAN
呼び出す,よびだす,GODAN
唆す,そそのかす,GODAN
回す,まわす,GODAN
壊す,こわす,GODAN
売り出す,うりだす,GODAN
外す,はずす,GODAN
寄越す,よこす,GODAN
尽くす,つくす,GODAN
崩す,くずす,GODAN
差し出す,さしだす,GODAN
帰す,かえす,GODAN
干す,ほす,GODAN
引き出す,ひきだす,GODAN
引き起こす,ひきおこす,GODAN
思い出す,おもいだす,GODAN
悩ます,なやます,GODAN
慣らす,ならす,GODAN
戻す,もどす,GODAN
打ち出す,うちだす,GODAN
打ち消す,うちけす,GODAN
投げ出す,なげだす,GODAN
折り返す,おりかえす,GODAN
抜かす,ぬかす,GODAN
押す,おす,GODAN
持て成す,もてなす,GODAN
指す,さす,GODAN
指差す,ゆびさす,GODAN
挿す,さす,GODAN
探す,さがす,GODAN
掻き回す,かきまわす,GODAN
放す,はなす,GODAN
放り出す,ほうりだす,GODAN
散らかす,ちらかす,GODAN
散らす,ちらす,GODAN
施す,ほどこす,GODAN
明かす,あかす,GODAN
映す,うつす,GODAN
果たす,はたす,GODAN
止す,よす,GODAN
残す,のこす,GODAN
殖やす,ふやす,GODAN
殺す,ころす,GODAN
汚す,よごす,GODAN
沸かす,わかす,GODAN
治す,なおす,GODAN
注す,さす,GODAN
流す,ながす,GODAN
浸す,ひたす,GODAN
消す,けす,GODAN
済ます,すます,GODAN
減らす,へらす,GODAN
渡す,わたす,GODAN
満たす,みたす,GODAN
溶かす,とかす,GODAN
滅ぼす,ほろぼす,GODAN
滑らす,ずらす,GODAN
漏らす,もらす,GODAN
潰す,つぶす,GODAN
澄ます,すます,GODAN
濡らす,ぬらす,GODAN
為す,なす,GODAN
無くす,なくす,GODAN
焦がす,こがす,GODAN
照らす,てらす,GODAN
熟す,こなす,GODAN
燃やす,もやす,GODAN
犯す,おかす,GODAN
甘やかす,あまやかす,GODAN
生かす,いかす,GODAN
生み出す,うみだす,GODAN
生やす,はやす,GODAN
申す,もうす,GODAN
略す,りゃくす,GODAN
目指す,めざす,GODAN
直す,なおす,GODAN
示す,しめす,GODAN
移す,うつす,GODAN
耕す,たがやす,GODAN
脅かす,おどかす,GODAN
脅す,おどす,GODAN
膨らます,ふくらます,GODAN
致す,いたす,GODAN
荒らす,あらす,GODAN
落とす,おとす,GODAN
著す,あらわす,GODAN
